ID,COORDS_X,COORDS_Y,ROWS,COLUMNS,WIDTH,HEIGHT,LENGTH,GREENHOUSE_PHOTO,CLIEND_ID
1,270.6259261666867,206.56945411550527,8,11,5.36,2.47,2.0,1.jpg,61
2,651.0747750258781,477.07009024515025,10,8,3.59,1.73,2.0,2.jpg,41
3,595.1304553690564,431.27143513661895,5,7,3.19,2.36,2.0,3.jpg,67
4,272.69914820519443,372.45302286088406,8,12,7.05,2.48,2.0,4.jpg,54
5,481.7032209142392,141.893811445016,10,8,7.32,1.57,2.0,5.jpg,48
6,462.61922522728486,228.47442506893785,10,9,3.48,2.01,2.0,6.jpg,74
7,368.3745459306996,312.069443652702,8,5,5.15,2.41,2.0,7.jpg,80
8,373.9245310045741,269.4428356110973,6,10,3.1,2.15,2.0,8.jpg,1
9,634.7771576280129,176.93088636790404,5,8,2.05,2.46,2.0,9.jpg,50
10,686.4396056764826,460.5521879352317,8,15,7.3,2.08,2.0,10.jpg,65
11,335.7648423538236,453.6503266187513,8,13,5.35,1.61,2.0,11.jpg,50
12,315.65966295829065,108.37583349898617,10,8,3.35,2.1,2.0,12.jpg,10
13,478.04786069470674,452.6278629164026,9,12,3.15,1.83,2.0,13.jpg,44
14,639.6183029385859,270.836451980703,5,14,2.59,1.82,2.0,14.jpg,15
15,612.3793077492296,417.5331238682709,10,12,4.6,1.58,2.0,15.jpg,81
16,333.73101608797424,445.8202118260509,9,14,6.17,2.28,2.0,16.jpg,64
17,632.1220018837676,496.35929761022584,6,13,4.67,2.26,2.0,17.jpg,60
18,342.36539372238997,221.2248915632515,8,8,3.14,1.7,2.0,18.jpg,32
19,216.3009825951726,116.68561640775698,10,14,3.16,1.99,2.0,19.jpg,29
20,563.8301226071392,208.3358941821559,5,6,4.91,2.09,2.0,20.jpg,66
21,525.4216818419982,209.72088262878185,5,5,2.1,2.04,2.0,21.jpg,17
22,320.82437796617234,454.43371704426255,9,13,6.38,1.6,2.0,22.jpg,79
23,386.8954031107196,278.5275687075508,9,9,3.28,1.78,2.0,23.jpg,48
24,389.20851373173724,445.89587750162326,10,10,3.01,2.38,2.0,24.jpg,47
25,414.16100660359496,148.07542165965305,9,8,6.42,1.7,2.0,25.jpg,68
26,642.739965334476,309.24585793700203,9,15,7.79,1.51,2.0,26.jpg,55
27,649.2478877089225,209.1829156001046,8,11,6.92,2.02,2.0,27.jpg,51
28,513.0993200582143,113.11913460385932,8,8,7.19,2.27,2.0,28.jpg,13
29,351.8778681615159,450.52808141302694,10,10,4.69,2.07,2.0,29.jpg,15
30,663.960173274283,405.4074512183564,8,8,6.62,2.15,2.0,30.jpg,19
31,551.6080321278528,414.82168499169694,9,5,6.19,1.64,2.0,31.jpg,40
