ID,IP,COORDS_X,COORDS_Y,ROWS,COLUMNS,WIDTH,HEIGHT,LENGTH,GREENHOUSE_PHOTO,CLIENT_ID
1,localhost:2989,335.9201609923895,225.9451429327798,6,12,6.34,2.46,2.0,1.jpg,13
2,localhost:2990,612.5306602586829,451.5588032175223,6,12,7.95,2.07,2.0,2.jpg,18
3,localhost:2991,619.1495826039622,151.07671644819206,6,12,4.26,1.98,2.0,3.jpg,2
4,localhost:2992,408.53258221376797,374.4055929119319,6,12,4.4,1.66,2.0,4.jpg,10
5,localhost:2993,289.48686470109607,118.44577139406942,6,12,5.81,2.47,2.0,5.jpg,18
6,localhost:2994,499.89363046543235,303.1907660285425,6,12,2.15,2.39,2.0,6.jpg,1
7,localhost:2995,388.5022442909471,162.42945631778883,6,12,6.47,2.04,2.0,7.jpg,14
8,localhost:2996,412.240817386638,473.9373091815367,6,12,3.25,2.19,2.0,8.jpg,31
9,localhost:2997,410.2022116823604,469.7046913115629,6,12,5.67,2.16,2.0,9.jpg,27
10,localhost:2998,412.44689313232607,241.79258785612708,6,12,5.45,1.75,2.0,10.jpg,3
11,localhost:2999,690.4750547916891,163.77392392269758,6,12,7.8,2.08,2.0,11.jpg,23
12,localhost:3000,401.67830895317996,190.79660733601173,6,12,4.11,2.36,2.0,12.jpg,29
13,localhost:3001,338.89525827932397,303.2835245758995,6,12,2.92,1.79,2.0,13.jpg,27
14,localhost:3002,223.97608969964583,452.54752314664637,6,12,4.82,1.65,2.0,14.jpg,20
15,localhost:3003,321.127507942678,286.34471677725304,6,12,5.21,2.11,2.0,15.jpg,23
16,localhost:3004,532.9345971202027,367.5984793976117,6,12,2.92,2.47,2.0,16.jpg,27
17,localhost:3005,694.0183324357724,442.5114881237305,6,12,3.23,2.07,2.0,17.jpg,29
18,localhost:3006,628.0681474766964,180.99533470892553,6,12,4.37,2.2,2.0,18.jpg,34
19,localhost:3007,526.1096895453522,406.4487397441646,6,12,6.47,1.99,2.0,19.jpg,24
