ID,TYPE,COLUMN,ROW,LIFESPAN,GREENHOUSE_ID
1,Lettuce,0,0,12,113
2,Lettuce,1,0,12,113
3,Lettuce,2,0,12,113
4,Lettuce,3,0,12,113
5,Lettuce,4,0,12,113
6,Lettuce,5,0,12,113
7,Lettuce,6,0,12,113
8,Lettuce,7,0,12,113
9,Lettuce,8,0,12,113
10,Lettuce,9,0,12,113
11,Lettuce,10,0,12,113
12,Lettuce,11,0,12,113
13,Lettuce,0,1,12,113
14,Lettuce,1,1,12,113
15,Lettuce,2,1,12,113
16,Lettuce,3,1,12,113
17,Lettuce,4,1,12,113
18,Lettuce,5,1,12,113
19,Lettuce,6,1,12,113
20,Lettuce,7,1,12,113
21,Lettuce,8,1,12,113
22,Lettuce,9,1,12,113
23,Lettuce,10,1,12,113
24,Lettuce,11,1,12,113
25,Lettuce,0,2,12,113
26,Lettuce,1,2,12,113
27,Lettuce,2,2,12,113
28,Lettuce,3,2,12,113
29,Lettuce,4,2,12,113
30,Lettuce,5,2,12,113
31,Lettuce,6,2,12,113
32,Lettuce,7,2,12,113
33,Lettuce,8,2,12,113
34,Lettuce,9,2,12,113
35,Lettuce,10,2,12,113
36,Lettuce,11,2,12,113
37,Lettuce,0,3,12,113
38,Lettuce,1,3,12,113
39,Lettuce,2,3,12,113
40,Lettuce,3,3,12,113
41,Lettuce,4,3,12,113
42,Lettuce,5,3,12,113
43,Lettuce,6,3,12,113
44,Lettuce,7,3,12,113
45,Lettuce,8,3,12,113
46,Lettuce,9,3,12,113
47,Lettuce,10,3,12,113
48,Lettuce,11,3,12,113
49,Lettuce,0,4,12,113
50,Lettuce,1,4,12,113
51,Lettuce,2,4,12,113
52,Lettuce,3,4,12,113
53,Lettuce,4,4,12,113
54,Lettuce,5,4,12,113
55,Lettuce,6,4,12,113
56,Lettuce,7,4,12,113
57,Lettuce,8,4,12,113
58,Lettuce,9,4,12,113
59,Lettuce,10,4,12,113
60,Lettuce,11,4,12,113
61,Lettuce,0,5,12,113
62,Lettuce,1,5,12,113
63,Lettuce,2,5,12,113
64,Lettuce,3,5,12,113
65,Lettuce,4,5,12,113
66,Lettuce,5,5,12,113
67,Lettuce,6,5,12,113
68,Lettuce,7,5,12,113
69,Lettuce,8,5,12,113
70,Lettuce,9,5,12,113
71,Lettuce,10,5,12,113
72,Lettuce,11,5,12,113
73,Lettuce,0,0,12,112
74,Lettuce,1,0,12,112
75,Lettuce,2,0,12,112
76,Lettuce,3,0,12,112
77,Lettuce,4,0,12,112
78,Lettuce,5,0,12,112
79,Lettuce,6,0,12,112
80,Lettuce,7,0,12,112
81,Lettuce,8,0,12,112
82,Lettuce,9,0,12,112
83,Lettuce,10,0,12,112
84,Lettuce,11,0,12,112
85,Lettuce,0,1,12,112
86,Lettuce,1,1,12,112
87,Lettuce,2,1,12,112
88,Lettuce,3,1,12,112
89,Lettuce,4,1,12,112
90,Lettuce,5,1,12,112
91,Lettuce,6,1,12,112
92,Lettuce,7,1,12,112
93,Lettuce,8,1,12,112
94,Lettuce,9,1,12,112
95,Lettuce,10,1,12,112
96,Lettuce,11,1,12,112
97,Lettuce,0,2,12,112
98,Lettuce,1,2,12,112
99,Lettuce,2,2,12,112
100,Lettuce,3,2,12,112
101,Lettuce,4,2,12,112
102,Lettuce,5,2,12,112
103,Lettuce,6,2,12,112
104,Lettuce,7,2,12,112
